DATETIME,CPUCoreTemp_1,CPUCoreTemp_2,CPUCoreTemp_3,CPUCoreTemp_4,CPUCoreTemp_Package,CPUPackagePower,CPUCorePower,CPUCoreClock_1,CPUCoreClock_2,CPUCoreClock_3,CPUCoreClock_4
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2020.11.30 09:37:23 058,28,28,29,29,31,6.528,4.501,1494.002,1494.002,1195.202,1195.202
2020.11.30 09:37:24 065,27,28,29,28,30,3.414,1.6,1195.202,1195.202,1593.602,1593.602
2020.11.30 09:37:25 075,29,30,29,28,30,3.899,2.08,2589.605,2490.005,2490.005,2490.005
2020.11.30 09:37:26 085,27,28,29,27,30,2.834,1.037,796.801,796.801,796.801,796.801
2020.11.30 09:37:27 094,28,28,29,28,30,3.329,1.525,1195.202,1593.603,1593.603,1593.603
2020.11.30 09:37:28 103,27,28,28,28,30,2.948,1.152,1992.003,1992.003,1992.003,1992.003
2020.11.30 09:37:29 111,27,28,29,28,30,3.147,1.334,2788.806,2788.806,2788.806,2689.206
2020.11.30 09:37:30 118,27,28,29,27,30,3.178,1.384,796.801,796.801,796.801,796.801
2020.11.30 09:37:31 126,27,28,29,27,30,2.976,1.17,2091.605,2091.605,2091.605,1792.804
2020.11.30 09:37:32 134,27,28,29,27,30,3.077,1.276,1294.802,996.001,996.001,996.001
2020.11.30 09:37:33 143,31,30,39,29,39,4.498,2.697,2689.205,2589.605,2689.205,2689.205
2020.11.30 09:37:34 152,28,28,29,28,30,5.242,3.364,1494.002,1494.002,1195.201,1195.201
2020.11.30 09:37:35 162,31,31,42,30,42,8.993,7.178,2589.605,2689.206,2788.806,2689.206
2020.11.30 09:37:36 171,27,28,29,27,30,4.337,2.484,796.801,796.801,796.801,796.801
2020.11.30 09:37:37 178,29,30,30,29,31,3.439,1.632,2589.605,2589.605,2589.605,2589.605
2020.11.30 09:38:39 813,28,31,31,29,32,7.026,4.749,1792.803,1792.803,1792.803,1792.803
2020.11.30 09:39:43 020,36,35,37,39,39,13.958,9.622,2589.646,2689.248,2490.044,2490.044
2020.11.30 09:39:44 027,30,31,31,30,32,5.178,2.708,1892.403,1593.603,1593.603,1593.603
2020.11.30 09:39:45 037,29,31,31,30,32,5.263,3.335,796.801,796.801,796.801,796.801
2020.11.30 09:39:46 047,29,30,31,29,32,4.541,2.611,1195.202,1195.202,1195.202,1195.202
2020.11.30 09:39:47 057,29,29,29,29,31,3.285,1.452,796.801,796.801,796.801,796.801
2020.11.30 09:39:48 064,28,30,30,29,31,3.265,1.464,796.801,796.801,796.801,796.801
2020.11.30 09:39:49 072,29,29,30,29,31,3.782,1.953,796.801,796.801,796.801,796.801
2020.11.30 09:39:50 081,30,30,31,29,31,3.275,1.474,2589.605,2689.206,2689.206,2689.206
2020.11.30 09:39:51 090,29,30,30,29,31,3.503,1.672,1593.602,1593.602,1593.602,1593.602
2020.11.30 09:39:52 098,29,30,31,31,31,3.723,1.886,2589.605,2589.605,2589.605,2589.605
2020.11.30 09:39:53 107,29,30,32,29,32,3.981,2.114,2589.604,2589.604,2490.004,2589.604
2020.11.30 09:39:54 116,28,29,30,28,31,3.796,1.94,796.801,796.801,796.801,796.801
2020.11.30 09:39:55 127,31,32,31,30,32,4.422,2.476,796.802,796.802,796.802,796.802
2020.11.30 09:39:56 134,29,30,30,29,31,4.313,2.39,796.801,796.801,796.801,796.801
2020.11.30 09:39:57 145,29,31,31,32,32,3.802,1.874,2689.206,2490.005,2689.206,2689.206
2020.11.30 09:39:58 153,28,30,30,29,31,3.667,1.854,796.801,2589.603,2589.603,2689.203
2020.11.30 09:39:59 161,28,30,30,29,31,3.378,1.586,796.801,796.801,796.801,796.801
2020.11.30 09:40:00 169,29,30,30,29,31,3.691,1.872,796.801,796.801,796.801,796.801
2020.11.30 09:40:01 177,29,30,29,29,31,3.698,1.885,896.402,896.402,896.402,896.402
2020.11.30 09:40:02 189,29,30,30,29,31,3.982,1.966,796.801,2589.604,2589.604,2589.604
2020.11.30 09:40:03 197,28,29,29,29,31,3.725,1.85,796.801,796.801,796.801,796.801
2020.11.30 09:40:04 205,28,30,30,28,31,3.312,1.518,896.402,796.801,796.801,796.801
2020.11.30 09:40:05 215,28,30,30,28,31,3.967,2.163,2490.005,2191.205,2191.205,2191.205
2020.11.30 09:40:06 222,31,31,32,31,32,5.264,3.313,2490.004,2589.604,2589.604,2689.204
2020.11.30 09:40:07 231,30,31,31,29,31,5.564,3.545,1195.202,1195.202,1195.202,1195.202
2020.11.30 09:40:08 239,28,30,30,28,31,3.242,1.444,1494.003,1195.202,1195.202,896.402
2020.11.30 09:40:09 248,29,30,31,29,31,4.36,2.546,2390.404,796.801,796.801,796.801
