DATETIME,CPUCoreTemp_1,CPUCoreTemp_2,CPUCoreTemp_3,CPUCoreTemp_4,CPUCoreTemp_Package,CPUPackagePower,CPUCorePower,CPUCoreClock_1,CPUCoreClock_2,CPUCoreClock_3,CPUCoreClock_4
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2020.12.01 00:00:00 203,47,45,45,43,48,3.489,1.729,2689.204,2689.204,2689.204,2689.204
2020.12.01 00:00:01 211,44,45,46,43,46,3.379,1.612,2589.604,2589.604,2589.604,2589.604
2020.12.01 00:00:02 218,43,43,44,43,45,4.551,2.793,2788.805,2788.805,2788.805,2788.805
2020.12.01 00:00:03 226,43,43,45,42,45,3.287,1.523,2390.404,2390.404,2390.404,2091.603
2020.12.01 00:00:04 234,44,46,46,43,46,3.177,1.415,2490.004,2589.604,2689.204,2589.604
2020.12.01 00:00:05 244,42,43,44,42,44,2.909,1.164,796.801,2689.204,2689.204,2490.004
2020.12.01 00:00:06 253,42,43,44,42,44,3.151,1.39,1792.803,1792.803,1494.003,1494.003
2020.12.01 00:00:07 260,43,45,46,43,46,3.4,1.64,796.801,796.801,796.801,796.801
2020.12.01 00:00:08 267,49,45,46,43,50,3.056,1.314,2589.604,2490.004,2490.004,2490.004
2020.12.01 00:00:09 276,44,45,45,45,45,3.176,1.427,2689.205,2589.604,2689.205,2689.205
2020.12.01 00:00:10 284,43,45,44,42,45,3.249,1.484,2788.804,2788.804,2788.804,2689.204
2020.12.01 00:00:11 292,43,43,44,43,44,3.064,1.319,1593.603,1593.603,1294.802,1294.802
2020.12.01 00:00:12 301,43,44,44,42,44,3.194,1.441,1992.003,1992.003,1992.003,1693.203
2020.12.01 00:00:13 309,42,44,44,42,44,3.601,1.851,896.401,896.401,896.401,896.401
2020.12.01 00:00:14 317,44,45,45,43,45,3.264,1.506,2689.205,2689.205,2689.205,2390.404
2020.12.01 00:00:15 324,43,43,45,43,45,3.111,1.357,2390.404,2390.404,2390.404,2390.404
2020.12.01 00:00:16 333,43,43,44,43,44,3.23,1.477,2788.805,2788.805,2788.805,2788.805
2020.12.01 00:00:17 341,47,46,46,43,47,3.394,1.646,2689.204,2689.204,2689.204,2689.204
2020.12.01 00:00:18 350,46,46,45,43,46,3.195,1.448,2490.004,2490.004,2490.004,2490.004
2020.12.01 00:00:19 359,43,45,44,42,45,3.286,1.553,2689.204,2589.604,2589.604,2589.604
2020.12.01 00:00:20 368,43,43,44,42,44,3.324,1.586,796.801,796.801,796.801,796.801
2020.12.01 00:00:21 375,42,43,44,42,44,2.854,1.12,1593.603,2689.205,2689.205,2788.805
2020.12.01 00:00:22 385,44,44,45,43,45,3.371,1.631,1992.003,1992.003,1992.003,1992.003
2020.12.01 00:00:23 394,42,44,44,43,44,3.179,1.434,2589.604,2589.604,2589.604,2589.604
2020.12.01 00:00:24 403,43,45,46,42,46,3.167,1.444,796.801,796.801,796.801,796.801
2020.12.01 00:00:25 410,42,43,44,42,44,3.177,1.45,796.801,796.801,796.801,796.801
2020.12.01 00:00:26 418,44,44,44,42,44,3.317,1.576,2589.606,2689.206,2689.206,2589.606
2020.12.01 00:00:27 427,46,45,45,45,45,3.167,1.432,2689.204,2689.204,2689.204,2689.204
2020.12.01 00:00:28 434,48,45,45,43,48,3.132,1.398,2490.004,2490.004,2490.004,2490.004
2020.12.01 00:00:29 443,43,43,44,43,44,3.255,1.51,796.801,796.801,796.801,796.801
2020.12.01 00:00:30 453,48,45,47,43,47,3.493,1.738,2490.005,2589.605,2689.205,2689.205
2020.12.01 00:00:31 461,46,44,44,42,46,3.073,1.334,2689.204,2689.204,2689.204,2689.204
2020.12.01 00:00:32 469,43,43,44,42,44,3.361,1.601,796.801,796.801,796.801,796.801
2020.12.01 00:00:33 486,48,47,45,43,48,3.326,1.564,2490.005,2689.205,2689.205,2788.805
2020.12.01 00:00:34 498,42,44,45,43,45,3.014,1.262,1593.602,2689.203,2689.203,2589.603
2020.12.01 00:00:35 509,48,46,46,43,48,3.509,1.736,2490.005,2490.005,2490.005,2490.005
2020.12.01 00:00:36 517,42,43,44,43,44,3.494,1.736,2589.604,2589.604,2589.604,2589.604
2020.12.01 00:00:37 526,43,43,44,43,44,3.664,1.903,796.801,796.801,2490.003,2689.204
2020.12.01 00:00:38 534,42,43,44,42,44,3.336,1.566,1992.004,1992.004,1992.004,1992.004
2020.12.01 00:00:39 543,42,43,44,42,44,3.175,1.421,796.801,796.801,796.801,796.801
2020.12.01 00:00:40 552,42,43,44,43,44,3.131,1.38,796.801,796.801,796.801,796.801
2020.12.01 00:00:41 560,42,43,44,43,45,3.802,2.037,796.801,796.801,796.801,796.801
2020.12.01 00:00:42 568,43,45,45,43,45,3.403,1.643,2390.405,2390.405,2091.604,2091.604
2020.12.01 00:00:43 576,45,43,44,43,45,3.104,1.36,2589.604,2689.204,2689.204,2689.204
2020.12.01 00:00:44 584,42,43,44,42,44,3.435,1.674,796.801,796.801,796.801,796.801
2020.12.01 00:00:45 592,42,44,44,43,45,3.459,1.703,796.801,796.801,796.801,796.801
