DATETIME,CPUCoreTemp_1,CPUCoreTemp_2,CPUCoreTemp_3,CPUCoreTemp_4,CPUCoreTemp_Package,CPUPackagePower,CPUCorePower,CPUCoreClock_1,CPUCoreClock_2,CPUCoreClock_3,CPUCoreClock_4
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2020.12.01 09:33:20 886,86,85,85,87,87,19.985,16.305,3194.879,3095.039,2995.199,3194.879
2020.12.01 09:33:21 955,74,77,73,74,77,12.795,9.915,2595.84,3294.72,2296.32,3294.72
2020.12.01 09:33:23 024,77,78,76,76,78,14.144,10.828,2595.84,1797.12,3294.72,3294.72
2020.12.01 09:33:24 105,74,74,76,77,78,12.419,8.888,1896.959,1797.119,1896.959,1397.759
2020.12.01 09:38:19 600,67,68,66,64,69,9.793,7.085,1297.92,2196.48,1497.6,2496
2020.12.01 09:40:15 552,71,71,70,72,72,12.451,9.596,1996.8,1297.92,1297.92,2396.16
2020.12.01 09:40:29 744,0,0,0,0,0,0,0,0,0,0,0
2020.12.01 09:40:43 859,69,69,72,67,74,10.473,7.565,1597.442,1297.921,1297.921,3294.723
2020.12.01 09:40:44 929,67,68,67,68,69,7.293,4.829,1297.92,1297.92,1597.44,2895.359
2020.12.01 09:41:35 673,62,61,63,60,64,6.578,4.103,1198.08,1098.24,1297.92,1098.24
2020.12.01 09:41:36 751,63,62,62,60,64,6.657,4.663,1098.24,1297.92,2695.68,2595.841
2020.12.01 09:41:37 817,59,59,59,58,64,3.794,2.005,2096.64,1198.08,1996.8,1098.24
2020.12.01 09:42:12 166,60,60,61,59,64,6.562,4.129,1098.24,1098.24,1198.08,1098.24
2020.12.01 09:42:59 247,61,60,60,59,64,6.545,4.192,1098.24,1098.24,1098.24,1098.24
2020.12.01 09:43:00 313,62,63,63,61,65,7.728,5.577,1198.079,1198.079,1198.079,1098.239
2020.12.01 09:43:01 385,61,62,61,60,64,4.936,2.815,1098.24,1098.24,1098.24,1098.24
