DATETIME,CPUCoreTemp_1,CPUCoreTemp_2,CPUCoreTemp_3,CPUCoreTemp_4,CPUCoreTemp_Package,CPUPackagePower,CPUCorePower,CPUCoreClock_1,CPUCoreClock_2,CPUCoreClock_3,CPUCoreClock_4
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
2020.12.01 09:33:20 886,86,85,85,87,87,19.985,16.305,3194.879,3095.039,2995.199,3194.879
2020.12.01 09:33:21 955,74,77,73,74,77,12.795,9.915,2595.84,3294.72,2296.32,3294.72
2020.12.01 09:33:23 024,77,78,76,76,78,14.144,10.828,2595.84,1797.12,3294.72,3294.72
2020.12.01 09:33:24 105,74,74,76,77,78,12.419,8.888,1896.959,1797.119,1896.959,1397.759
2020.12.01 09:45:22 135,79,77,78,76,79,14.285,10.756,1697.28,2096.64,2096.64,1996.8
2020.12.01 09:45:23 212,78,78,78,76,78,12.898,9.85,1797.12,1797.12,1697.28,1697.28
2020.12.01 09:45:24 279,81,80,79,80,81,12.097,8.987,1896.96,1896.96,1896.96,1896.96
2020.12.01 09:45:25 345,77,77,75,77,77,12.909,9.669,1497.6,1597.44,1597.44,1497.6
2020.12.01 09:45:26 410,77,76,75,74,77,11.317,8.512,1996.801,1996.801,1697.281,1896.961
2020.12.01 09:45:27 475,80,81,77,82,82,11.28,8.391,2496,2496,2196.48,2496
2020.12.01 09:45:28 548,80,77,77,77,80,12.913,10.089,2296.319,2296.319,2296.319,1397.76
